Year,Artist,Album
1998,Fun Lovin' Criminals,Love Unlimited (Explicit)
1998,Gabriela Anders,Love Is So Unkind (Album Version)
1998,Galactic,Cafe deClouet
1998,Gene Clark,Set You Free This Time
1998,Grupo Batuque,Ole Ola
1998,Gustavo A. Santaolalla,La Vuelta
1998,James Horner,The President's Speech
1998,James Last,Summer Rain
1998,Jason & The Scorchers,19th Nervous Breakdown
1998,Jennifer Brown,Naked
1998,Joe Satriani,House Full Of Bullets
1998,Junior Kimbrough,All Night Long (Instumental)
1998,Junior Reid,"Boom-Shack-A-Lack (12"" Mmix / Bonus Tra)"
1998,K's Choice,20.000 Seconds
1998,K's Choice,God In My Bed
1998,Kaija Koo,Savu hälvenee
1998,Kisha,Why?
1998,Lee Ritenour,Can You Feel It?
1998,Les Malpolis,Les Amours de Nathalie
1998,Lisa Lynne,Lake Of Dreams
1998,Los Amigos Invisibles,Nerio Compra Una Contestadora
1998,Los Amigos Invisibles,Ultra-Funk
1998,Luciana Souza,Azul Contente
1998,M.A. Numminen,KOOKOSP}HKIN} - I'VE GOT A LOVELY BUNCH OF COCONUTS-
1998,Mandi,Pieni Maailma
1998,Martin Sexton,Glory Bound (LP Version)
1998,Martin Sexton,My Maria (LP Version)
1998,Mithotyn,Let Thy Ale Swing
1998,Mithotyn,On Misty Pathways
1998,Monster Magnet,Black Celebration
1998,Moonspell,The Hanged Man
1998,Mudhoney,"Beneath The Valley Of The Underdog (Album Version + Hidden Track ""Talkin' Randy Tate's..."")"
1998,Natural Elements,Mayday
1998,Nic Endo,Future Prospects
1998,Old Man's Child,Towards Eternity
1998,OutKast,"Return Of The ""G"
1998,OutKast featuring George Clinton,Synthesizer
1998,Papa Wemba,Bakwetu
1998,Papa Wemba,Excuse me
1998,Patty Griffin,Flaming Red
1998,Pearl Jam,Wishlist
1998,Philip Bailey,Silent Night
1998,Piero Umiliani,Apertura in jazz
1998,Point Of Grace,Amazing (LP Version)
1998,Primordial,Journey's End
1998,Primordial,The Burning Season (Live)
1998,Primordial,Autumn's Ablaze (Live)
1998,Ray Lynch,Ralph's Rhapsody
1998,Ray Pillow,We're Together Again
1998,Redman,I Got A Seecret
1998,Republica,Pub Pusher
1998,Richi M.,Wake Me Up
1998,Robert Lockwood_ Jr.,She's Little And She's Low
1998,Robert Lockwood_ Jr.,Feel Like Blowing My Horn
1998,Robert Lockwood_ Jr.,Big Legged Woman
1998,Robert Lockwood_ Jr.,Kindhearted Woman Blues
1998,Roger Creager,The Everclear Song
1998,Russ Taff,We Will Stand
1998,Scott Weiland,The Date ( LP Version )
1998,Seal,Still Love Remains (Album Version)
1998,Seal,When A Man Is Wrong (Album Version)
1998,Semisonic,Gone To The Movies
1998,Semisonic,Secret Smile
1998,Sex Pistols,I'm A Lazy Sod (Live)
1998,Shakira,Que Vuelvas
1998,Shakira,Ojos Así
1998,Shakira,Tú
1998,Soul Asylum,Lies Of Hate
1998,Speedball,No Survivors
1998,Sportsguitar,Fish
1998,Stanley Clarke,What If I Forget The Champagne
1998,Storyville,Talk To Me
1998,Storyville,Enough
1998,Sue Foley,She Don't Belong To You
1998,Talvin Singh,Traveller
1998,Terry Callier,Java Sparrow
1998,The Cardigans,Paralyzed
1998,The Cardigans,Marvel Hill
1998,The Cardigans,Explode
1998,The Gone Jackals,That Blows My Mind (Slammin' and Way Out There!)
1998,Tito Puente,Flight To Jordan
1998,Toots & The Maytals,She Will Never Let Me Down
1998,Toots Thielemans,Le Temps Des Cerises
1998,Tresenlesen,Das Gelübde
1998,Ty Herndon,A Man Holdin' On (To A Woman Lettin' Go)
1998,Van Halen,From Afar (Album Version)
1998,Vangelis,El Greco: Movement III
1998,Walter Ego,Purple Pygmies
1998,XLNC,Pichleh Janam Dee
1998,YGGDRASIL,Nordfjorloftet
1999,2 Minutos,Cancion De Amor
1999,3 Doors Down,Be Like That
1999,3 Doors Down,Duck And Run
1999,Agnostic Front,Rock Star
1999,Agnostic Front,Sickness
1999,Al Denson,Rain Love
1999,Anti-Flag,This Is NOT a Crass Song
1999,Atari Teenage Riot,Revolution Action
1999,Autumnblaze,Her Golden Robe In Silence Veiled
1999,Backstreet Boys,Larger Than Life
1999,Basement Jaxx,La Photo
1999,Basement Jaxx,Jump N Shout Featuring Slarta John (Radio Edit)
1999,Behemoth,Chant For Eschaton 2000
1999,Blackalicious,Ego Trip by Nikki Giovanni
1999,Blackalicious,Rock the Spot
1999,Bob Marley,Small Axe
1999,Bob Marley,Memphis
1999,Bobby Pulido,Alma De Metal
1999,Bobby Pulido,Mi Corazón Y Mi Mente
1999,Bobby Pulido,La Bruja Chafa
1999,Bongzilla,Witch Weed (Live)
1999,Brasilian Tropical Orchestra,Yesterday
1999,Brian Auger's Oblivion Express,Voices Of Other Times
1999,Bryan White,I Can't Wait 'Til Christmas (LP Version)
1999,Bryan White,God Gave Me You (Single/LP Version)
1999,Bryan White,Love Happens Just Like That (LP Version)
1999,Café Quijano,En Algún Rincón
1999,Café Quijano,Hablando A Un Cristal
1999,Caramell,Expolodera (som dynamit)
1999,Carlos Ponce,Todo Lo Que Soy
1999,Carlos Ponce,Decir Adios
1999,Casiotone For The Painfully Alone,Rice Dream Girl
1999,Charlie Peacock,Night Won't Last Forever_ The (Kingdom Come Album Version)
1999,Cherish The Ladies,The Shaskeen / Gan Ainm
1999,Cherrelle,Into My Eyes
1999,Coldplay,Don't Panic
1999,Curtis,Superstar Dog
1999,DMX / Dyme,Good Girls_ Bad Guys
1999,Dave Valentin,Sunshower
1999,Deep Puddle Dynamics,June 26th_ 1999 - Slight
1999,Delroy Wilson,Baby I Need Your Loving
1999,Dixie Chicks,Hole In My Head
1999,Donna Fargo,Superman
1999,Donna The Buffalo,Tides Of Time
1999,Dropkick Murphys,Amazing Grace (Album Version)
1999,EPMD,Check 1_2
1999,Eminem,Paul
1999,Ensiferum,Hero In A Dream
1999,Ensiferum,Warrior's Quest
1999,Enslavement Of Beauty,And Still I Wither
1999,Enter the Haggis,Widow's Walk
1999,Enter the Haggis,Skyswimmer
1999,Eric Burdon,Leo's place
1999,Estopa,Exiliado En El Lavabo
1999,Estopa,Me Falta El Aliento
1999,Faith Hill & Tim McGraw,Let's Make Love (Album Version)
1999,Flamin' Groovies,Carol
1999,Foo Fighters,Next Year
1999,Fountains Of Wayne,Laser Show (LP Version)
1999,GG Allin,Garbage Dump
1999,Gal Costa,Wave
1999,Gerald Veasley,Love Letter
1999,Gerard Lenorman,Voici Les Clés
1999,Groupa,Bliv Du Till Gran (If You Became A Spruce)
1999,Inspiral Carpets,Keep The Circle Around
1999,Isabel Pantoja,Limosna De Amores
1999,James Newton Howard,Photographs
1999,Janie Fricke,Let's Stop Talkin' About It
1999,Jefferson Starship,Let me fly
1999,Jennifer Lopez,Talk About Us
1999,John Debney,Porcelain Man
1999,John Wesley,Cuttin' the Tree
1999,Junior Kimbrough,All Night Long
1999,Kane,Damn those eyes
1999,Keep Of Kalessin,As Mist Lay Silent Beneath
1999,Kenny Rogers,Love Is What We Make It
1999,Kitaro,Harmony Of The Forest
1999,Korn,Hey Daddy
1999,Korn,Make Me Bad
1999,Kurupt,Girls All Pause
1999,Les Hurlements D'leo,L'accordéoniste
1999,Les Ogres De Barback,Printemps
1999,Les Ogres De Barback,Niev nietch nievitch
1999,Les Ogres De Barback,Grand-mère
1999,Les Ogres De Barback,De rien
1999,Les Rythmes Digitales feat. Nik Kershaw,Sometimes
1999,León Gieco,La Mamá De Jimmy
1999,Lightnin' Hopkins,Everyday I Have The Blues
1999,Lisa Lynne,Isla del Luna
1999,Lit,Lovely Day
1999,Little Angels,The First Cut Is The Deepest
1999,Long Beach Dub Allstars,Like A Dog
1999,Los Fabulosos Cadillacs,La Vida
1999,Los Fabulosos Cadillacs,Vos Sabes
1999,Los Van Van,Appapas Del Calabar
1999,Marc Dorsey,Love You Again
1999,Marc Shaiman,We're New Yorkers Now!
1999,Maria Muldaur,It Feels Like Rain
1999,Martina McBride,Make Me Believe
1999,Martina McBride,Anything's Better Than Feelin' The Blues
1999,Mary Black,Turning Away
1999,Methods Of Mayhem / Scott Kirkland,Narcotic
1999,Michael Gettel,The Journey North
1999,Milk Inc.,Losing Love (DJ Wout Remix)
1999,Mint Condition,Call Me
1999,Mississippi Fred McDowell,You Gotta Move
1999,Mithotyn,Guided By History
1999,Mobb Deep,Where Ya Heart At
1999,Moonspell,Tired
1999,Mötley Crüe,Get It For Free
1999,Natalie MacMaster,Father John Macleod's Jig
1999,Naughty By Nature,Ring The Alarm
1999,Neil Sedaka,Because Of You
1999,New Direction,Who Do You Roll With?  (LP Version)
1999,Nightfall,Master_ Faster_ Sweet Desaster
1999,Nine Inch Nails,The Frail
1999,Non Phixion,Sleepwalkers
1999,Open Hand,Never Alone
1999,Orbital,Adnans
1999,Orbital,I Don't Know You People
1999,Oscar Lima,If You Wanna Be My Friend
1999,Owsley,The Homecoming Song (Album Version)
1999,Owsley,Class Clown/Good Old Days (Reprise)
1999,Owsley,Zavelow House (Album Version)
1999,Patrick Bruel,Au Bout De La Marelle
1999,Placebo,Every You Every Me (Infected By The Scourge Of The Earth)
1999,Poncho Sanchez / Dianne Reeves,Morning
1999,Quinteto Violado,A Burrinha
1999,Rea_ Chris,E
1999,Red Hot Chili Peppers,Get On Top (Album Version)
1999,Red Hot Chili Peppers,Emit Remmus (Album Version)
1999,Red Hot Chili Peppers,Parallel Universe (Album Version)
1999,Richard Galliano,French Touch
1999,Richard Galliano,L' Envers Du Décor
1999,Richard Galliano,Les Forains
1999,Ricky Martin,She's All I Ever Had
1999,Righteous Brothers,Harlem Shuffle
1999,Ron Goodwin,The Lull Before The Storm
1999,Ron Goodwin,Personal Tragedy
1999,Saafir,Crawl Before You Ball (Album Version)
1999,Savage Garden,You Can Still Be Free
1999,Seguridad Social,El Oro De La Gallina De Los Huevos
1999,Shania Twain,Two Hearts One Love
1999,Sharon Burch,Don't Be Afraid (World)
1999,Sharon Burch,Earth Child (World)
1999,She Satellites,No-Satellites
1999,Shinehead,Olivia
1999,Sick Of It All,Sanctuary
1999,Skeeter Davis,Santa Claus Is Coming To Town
1999,Slick Rick,Kill Niggaz
1999,Sonny Landreth,She Left Me A Mule 
1999,Sonora Carruseles,Vitamina
1999,Sonora Carruseles,Chela
1999,Sonora Carruseles,La Chola Caderona
1999,Sophie B. Hawkins,32 Lines (Album Version)
1999,Speaker,Joking
1999,Static-X,Love Dump (Clean Album Version)
1999,Stefon Harris,Alovi
1999,Steve Vai,Fever Dream
1999,Suicide,Do It Nice
1999,Tam Tam Go!,Atrapados En La Red
1999,Tanto Metro & Devonte,Know Your Friends
1999,Terry Callier,Holdin' On
1999,The Ataris,I Won't Spend Another Night Alone
1999,The Dillinger Escape Plan,Sugar Coated Sour
1999,The Stooges,T.V. Eye (Take 3)
1999,The Verve Pipe,La La
1999,Tim Wilson,Uncle B.S. - 1963
1999,Tony Joe White,Menutha
1999,Tullycraft,Loveless
1999,Tullycraft,Bee Sting Stings
1999,UK Subs,Tomorrows Girls (Live)
1999,Usher,I Need Love
1999,Usher,Pianolude
1999,Vitamin C,About Last Night (LP Version)
1999,Vitamin C,Girls Against Boys (LP Version)
1999,Willie Rosario,Un Tipo Como Yo
1999,Zebra,Red
2000,4Him,Strange Way To Save The World
2000,Amil,Get Down
2000,Amil,Anyday
2000,Ann Lee,So deep
2000,Anne Dudley,Still Lost in the Forest
2000,Anne Dudley,A Stepmother's Curse
2000,Astarte,Risen From Within
2000,Atari Teenage Riot,Live At Brixton Academy 1999
2000,Avril,The Matter With You (Part I_ Ii_ Iii)
2000,BT,Mercury & Solace
2000,Backstreet Boys,The Call
2000,Backstreet Boys,Shape Of My Heart
2000,Bebe Winans / Stephanie Mills,Everyday
2000,Behemoth,Malice
2000,Behemoth,Hello Space Boy
2000,Berrogüetto,Nadal De Luintra
2000,Black Eyed Peas,Tell Your Momma Come
2000,Black Eyed Peas / Les Nubians / Mos Def,On My Own
2000,Black Eyed Peas / Terry Dexter,Magic
2000,Bob Willis,Sugar Blues
2000,Bone Thugs-N-Harmony,Murder One
2000,Bone Thugs-N-Harmony,Servin' Tha Fiends
2000,Bone Thugs-N-Harmony,2 Glocks
2000,Boney James And Rick Braun,Shake It Up (Album Version)
2000,Britney Spears,Don't Go Knockin' On My Door
2000,Britney Spears,Can't Make You Love Me
2000,Britney Spears,Oops!...I Did It Again
2000,Broadcast,Where Youth And Laughter Go
2000,Busta Rhymes,We Put It Down For Y'all (Explicit LP Version)
2000,Capleton,Conscience Ah Heng Dem (interlude)
2000,Carlos Vives,Si Es Que Te Vas
2000,Carlos Vives,Cancion De Amor Eterno
2000,Charanga Forever,Tumba Tumba
2000,Christina Aguilera,Genio Atrapado
2000,Christina Aguilera,Pero Me Acuerdo De Tí
2000,Citizen Kaned,President Johnson
2000,Coph Nia,Doppelgänger [Qliphothic Phantasmagoria]
2000,DJ Quik,Pitch In OnA Party
2000,Daler Mehndi,Teri Nau Ke Paune Teen
2000,Darryl Worley,Those Less Fortunate Than I
2000,David Benoit,Frieda
2000,Dead Prez,Assassination
2000,Dead Prez,Be Healthy
2000,Deborah Coleman,Confused
2000,Dee Clark,You're Looking Good
2000,Deftones,Korea (LP Version)
2000,Delbert McClinton,Lose Your Money
2000,Delbert McClinton,Lover In Demand
2000,Delirious,God You Are My God
2000,Donnie McClurkin,Psalm 27
2000,Dynamite Deluxe,Zap Zap
2000,Dynamite Deluxe,Zornig!
2000,Dynamite Deluxe,Eimsbush bis 0711
2000,Ec8or,I'm A Tomorrow
2000,Eddie Cantor,That's The Kind Of Baby For Me
2000,Eduardo Dusek,Nostradamus
2000,Eliane Elias,The Beat Of My Heart
2000,Elliot Goldenthal,Arrows Of The Gods
2000,Elliot Goldenthal,Pickled Heads
2000,Elliot Goldenthal,Vortex
2000,Eminem,The Way I Am
2000,Eminem,The Way I Am
2000,Eminem,The Way I Am
2000,Eminem,I'm Back
2000,Every Time I Die,Your Touch Versus Death
2000,FFH,Why Do I
2000,Flutlicht,Ahmea
2000,Frederick Knight,I've Been Lonely (For So Long)
2000,Fruko Y Sus Tesos,La Fruta Bomba
2000,Galactic,[Hidden Track]
2000,Geddy Lee,Runaway Train (LP Version)
2000,Glen Washington,Strangers In The Night
2000,Goatwhore,Gravedom
2000,Guaco,Venite Pa' Maracaibo
2000,Gus Viseur,Fausse monnaie
2000,Hatiras & Slarta John,Spaced Invader (Ian Pooley Club Mix)
2000,Helen Love,Shifty Disco Girl
2000,Helen Love,Bigbigkiss
2000,Hem,When I Was Drinking
2000,Hem,Polly's Dress
2000,In Extremo,Vollmond
2000,Jack Johnson,Fortunate Fool
2000,Jack Johnson,It's All Understood
2000,Jack Johnson,Inaudible Melodies
2000,James Horner,Good Friend
2000,Jim Reeves,Rosa Rio
2000,Jim Reeves,May The Good Lord Bless And Keep You
2000,Jim Reeves,TRUE
2000,Joe Rogan,Tigers Fucking (Spoken Word) (Album Version)
2000,Joe Rogan,"Not Homophobic/The Word Is ""Cock"" (Spoken Word) (Album Version)"
2000,Joe Rogan,Voodoo Punnany (Album Version)
2000,Johannes Linstead,Caja De Cerillas
2000,Johnny Copeland,Jambalaya (On The Bayou)
2000,Johnny Horton,The Woman I Need (Honky Tonk Mind)
2000,João Gilberto,Segredo
2000,Julie Zenatti,Si Je M'En Sors
2000,Julien Clerc,L'horizon Chimérique
2000,K's Choice,Another Year
2000,Karen Peck And New River,My God Will Always Be Enough
2000,Kassav',Loko
2000,Keb' Mo',The Door
2000,Kool Savas,Warum rappst du?
2000,LL Cool J / Amil,Hello
2000,Lady Saw,Freak Break
2000,Lara & Reyes,Away In A Manger
2000,Leona Naess,Chase
2000,Leona Naess,Paper Thin
2000,Lifehouse,Simon
2000,Lil' Band O' Gold,First You Cry
2000,Lil' Band O' Gold,Shirley
2000,Linkin Park,Pushing Me Away (Album Version)
2000,Linkin Park,Crawling (Album Version)
2000,Liquid Soul,Dysfunction
2000,Little Eva,The Loco Motion
2000,Lizzy Borden,There Will Be Blood Tonight
2000,Lizzy Borden,Zanzibar
2000,Lollipop Lust Kill,Bury You
2000,Los Chunguitos,Por La Calle Abajo
2000,Mance Lipscomb,Going Down Slow
2000,Marshall Crenshaw,Rave On (Live 1982)
2000,Martin Sexton,Things You Do To Me
2000,María Elena Walsh,La Mona Jacinta
2000,Mau Mau,Gamble Calypso
2000,Maurice Chevalier,La Romance De La Pluie
2000,Monster Magnet,Down In The Jungle
2000,MxPx,Answer In The Question
2000,Mötley Crüe,Hell On High Heels
2000,Nerf Herder,Pantera Fans In Love
2000,New Found Glory,Sucker
2000,Nightwish,Sleepwalker
2000,Nine Inch Nails,Metal
2000,Nouvelle,Céu do Brasil
2000,OV7,Volvere
2000,Open Hand,11th Street
2000,Oscar Lima,Desert Caravan
2000,Patti Smith,Lo and Beholden
2000,Phil Vassar,Like I Never Loved Before
2000,Photek,Under The Palms
2000,Photek,Terminus
2000,Photek,Junk
2000,Placebo,Slave To The Wage
2000,Radiohead,Everything In Its Right Place
2000,Rage Against The Machine,Kick Out The Jams
2000,Rah Digga (Featuring Outsidaz),The Last Word (Amended Version)
2000,Red Stick Ramblers,Why_ Now Baby?
2000,Renee Rosnes,Children's Song No. 3
2000,Richi M.,Popcorn
2000,Rokia Traoré,Château de sable
2000,Sade,Slave Song
2000,Sade,All About Our Love
2000,Shadows Fall,Crushing Belial
2000,Silent Stream Of Godless Elegy,Theme III
2000,Slum Village,CB4
2000,Soilwork,Machine Gun Majesty [Live] (Album Version)
2000,Sonora Carruseles,Que Suene Mi Campana
2000,Soulwax,Much Against Everyone'S Advice (Dave Bascombe Radio Mix)
2000,Steve Morse,Prognosis
2000,Steve Porter,Mindless
2000,Sticky Fingaz,Oh My God
2000,Syl Johnson,Diamond In The Rough
2000,TRAM 11,SUPER RISTA
2000,Taal,Noises
2000,Tania Maria,Vem Pr'a Roda
2000,Teenage Fanclub,The Sun Shines From You
2000,The Berzerker,Humanity
2000,The Berzerker,Deform (live)
2000,The Distillers,Oh Serena
2000,The Distillers,The Blackest Years (CD only hidden track)
2000,The Distillers,Ask The Angels
2000,The Distillers,World Comes Tumblin' Down
2000,The Galactic Heroes,Cherokee
2000,The Lord Weird Slough Feg,Beast In the Broch
2000,The Plasmatics,The White's Bedroom - Fire Escape
2000,The Smashing Pumpkins,Real Love
2000,The Waybacks,McHattie's Waltz
2000,Tin Hat Trio,Width Of The World
2000,Tin Hat Trio,Scrap
2000,Tiny Tim,I Hold Your Hand In Mine [Live At Royal Albert Hall]
2000,Tiny Tim,You Called It Madness [But I Call It Love] [Live At Royal Albert Hall]
2000,Toni Braxton,He Wasn't Man Enough
2000,Tranzas,Un nuevo amor (version salsa)
2000,Tranzas,Mientras me quieras
2000,U2,New York
2000,White Willow,The Reach
2000,William Orbit,Cavalleria Rusticana
2000,Wyclef Jean,Something About Mary
2000,Xcultures,Sudanese Dance
2000,Xcultures,Smile
2000,Xzibit,Loud & Clear (featuring Defari_ King T & Butch Cassidy)
2000,Yami Bolo,Put Down Your Weapons
2000,Zeca Baleiro,Blues Do Elevador
2000,Zeca Baleiro,Proibida Pra Mim (Grazon)
2001,23rd Turnoff,Michaelangelo
2001,2raumwohnung,Lachen und weinen
2001,3 of Hearts,Is It Love
2001,Aesop Rock,Flashflood
2001,Aesop Rock,Coma
2001,Agnostic Front,Standing On My Own
2001,Amoral,Metamorphosis
2001,Amorphis,Crimson Wave
2001,André Verchuren,Un P'Tit Brin De Musette
2001,Angelo Badalamenti,Dinner Party Pool Music
2001,Anti-Flag,Spaz's House Destruction Party
2001,Aphasia,"sample processing failed (part one: ""why don't you fuckin' remember anything ?"")"
2001,Aphasia,"mixture of noize (part two: ""walter sobchak"" - live extract)"
2001,Aphasia,"non-existent track (part one: ""why don't you fuckin' remember anything ?"")"
2001,Avril Lavigne,Unwanted
2001,Badmarsh & Shri,Bang
2001,Basement Jaxx,Sfm
2001,Beautiful Creatures,Wish (Album Version)
2001,Benabar,Porcelaine
2001,Big Daddy Kane,Flame On
2001,Black Debbath,The Four Big Ones (Essential Authors And Works)
2001,Black History,Problem Inna the System
2001,Blind Willie McTell,Boll Weevil
2001,Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version)
2001,Bounty Killer,Gun Thirsty
2001,Bounty Killer,Coppershot
2001,Britney Spears feat. Pharrell Williams,Boys
2001,Busta Rhymes,Genesis
2001,Busta Rhymes,We Got What You Want
2001,Café Quijano,En mis besos
2001,Cake,Arco Arena
2001,Candy Lo,Qu Ni De Hun Li
2001,Casiotone For The Painfully Alone,Dying Batteries
2001,City High,The Only One I Trust
2001,City High,Sista
2001,City High,What Would You Do?
2001,Clifton Chenier,Johnny Can't Dance
2001,Confetti's,C Day (Maxi Club Version)
2001,Connie Smith,I'll Come Running
2001,Connie Smith,If I Talk To Him
2001,DAVE MATTHEWS BAND,The Space Between
2001,DJ Harry,'Round the Wheel
2001,DMX,I'ma Bang
2001,Darwin's Waiting Room,Feel So Stupid (Table 9)
2001,Darwin's Waiting Room,Spent
2001,Dave Brockie Experience,The Dance Of Europe
2001,Dave Brockie Experience,Too Much Stuff
2001,Dave Hollister,One Woman Man
2001,Diesel Boy,Pocket Full Of Stars
2001,Dilated Peoples Featuring Black Thought,Hard Hitters
2001,Dimmu Borgir,Sympozium
2001,Dimmu Borgir,Puritania
2001,Djelimady Tounkara,Sigui
